Qualtrics_ID,Stimulus_ID
F_8wVSQ38FmwgaVLM,amusement_00001.mp4
F_dfZgfnvR6p0uDDE,amusement_00002.mp4
F_3L8Xvp6rea72njg,amusement_00003.mp4
F_3lzc9pWMo2GfcNM,amusement_00004.mp4
F_6xMxl8iwVS5fePY,amusement_00005.mp4
F_1T7KvHoCUJMeHv8,amusement_00006.mp4
F_bC9RoPkfWZhi5WC,amusement_00007.mp4
F_1XEFf5XrCqsCAOG,amusement_00008.mp4
F_0B4aOkzcmmyLS3I,amusement_00009.mp4
F_3KNb9rSqz5Vp8xw,amusement_00010.mp4
F_dcLQuFtwTSOb0KW,anger_00001.mp4
F_8qST2qf27kv3Z4y,anger_00002.mp4
F_ebz6GPKIjiWwyLs,anger_00003.mp4
F_1Umr1D4QV5FNMIm,anger_00004.mp4
F_00BrCi5YTWPUHzg,anger_00005.mp4
F_cScDzPQ9jSWrQRU,anger_00006.mp4
F_b3fs50fHtQIV1wG,anger_00007.mp4
F_7QVVocHnRS78u22,anger_00008.mp4
F_e8Jxu3MKjRlR1qe,anger_00009.mp4
F_8jnfT627cZZ60Um,anger_00010.mp4
F_cBhHbIhjn5F5AY6,anxiety_00001.mp4
F_0GQXOYphwdvyKQm,anxiety_00002.mp4
F_abFEBkp9LnagjXg,anxiety_00003.mp4
F_0c8KXIco9MdJGMS,anxiety_00004.mp4
F_1G0aVW09CtgfBb0,anxiety_00005.mp4
F_6FLTi5ujxX59xtQ,anxiety_00006.mp4
F_9NuzdymGezQ8IT4,anxiety_00007.mp4
F_cISscvhpqZdqcU6,anxiety_00008.mp4
F_0rgCLQZu8AzW3WK,anxiety_00009.mp4
F_72qGPJ8nmZSIo9U,anxiety_00010.mp4
F_4OcoSdcFeQrFzUy,awe_00001.mp4
F_dophjAA5RoQ30SG,awe_00002.mp4
F_9Bk9b0IlOYeKsAe,awe_00003.mp4
F_78wcpPGHuXJzHFQ,awe_00004.mp4
F_afL9bw56VpS6s9U,awe_00005.mov
F_6YEMxN7MR3FAjiK,awe_00006.mov
F_ba6XdBGZfIwQlUy,awe_00007.mp4
F_42AOgNWVm4iNXxA,awe_00008.mp4
F_1FdB9V4EpGvSlzo,awe_00009.mp4
F_cw5NRyJsu6HTJEa,awe_00010.mp4
F_2aHdljZXsmN6TzM,calmness_00001.m4v
F_bHnkJz8XgKprV3g,calmness_00002.m4v
F_6Yj68sIgSwhihVk,calmness_00003.mp4
F_1Mv0XJF6DJch8ns,calmness_00004.mp4
F_9tReq9st9KvU0B0,calmness_00005.mp4
F_bNwaywbBgPpcevs,calmness_00006.mp4
F_6LQVbn0MJli2Ck6,calmness_00007.mp4
F_exNIW9roBFOu6UK,calmness_00008.mp4
F_emV8KbZCoOp3bnM,calmness_00009.mp4
F_5pB34gqfdbQ2O3k,calmness_00010.mp4
F_d6GhYX0fQQZo6cm,craving_00001.mp4
F_43kOzIkHxvzGkJM,craving_00002.mp4
F_3yEJ5XYA953fnTw,craving_00003.mp4
F_3ZNQ7jLX2HOkrYi,craving_00004.mp4
F_8iyD8pHuc1KBwt8,craving_00005.mp4
F_1XF4g3TtTOL971A,craving_00006.mp4
F_2h0RysOPsCx3EIC,craving_00007.mp4
F_0U6y9PMFGLEXgl8,craving_00008.mp4
F_4HqruP8lGYDOr9I,craving_00009.mp4
F_9tvtVMxblWwPLz8,craving_00010.mp4
F_25E9BiUs33PjuQu,disgust_00001.mp4
F_cBZhwM40a6lureS,disgust_00002.mp4
F_cvc8kj3hyW8fY5U,disgust_00003.mp4
F_5uQr4EBO537kPYy,disgust_00004.mp4
F_e2tdTOC37mHbU5U,disgust_00005.mp4
F_819fjXam6vHfL6u,disgust_00006.mp4
F_4MCHPwAhZAKinlA,disgust_00007.mp4
F_3f93VUWKElBdzym,disgust_00008.mp4
F_3PnX7jAojaFxSya,disgust_00009.mp4
F_6Ab5NSFBJZu148K,disgust_00010.mp4
F_3UkoXOMmSKMshZY,excitement_00001.mp4
F_9QuAYCH7H2K6YDk,excitement_00002.mp4
F_b1p6AMyXkRSUHJk,excitement_00003.mp4
F_0BCA9jKbtsha8x8,excitement_00004.mp4
F_1TxW8vqrHdNVYOO,excitement_00005.mp4
F_86xBxn1Aaf2OOhg,excitement_00006.mp4
F_benRymxV00lFVUG,excitement_00007.mp4
F_cNLKu79KfvmInNc,excitement_00008.mp4
F_86pUxyHZq9UlNDU,excitement_00009.mp4
F_6J661qjPwRhPbQa,excitement_00010.mp4
F_bk1UhZ1XK7F1dOK,fear_00001.mp4
F_268SzvjWpoKvGhU,fear_00002.mp4
F_dmQrXoN4HFVzBmC,fear_00003.mp4
F_0jEGQij0wQ4bx0W,fear_00004.mp4
F_6MatsYM2XdL9NLU,fear_00005.mp4
F_bI5859fYU7raz0q,fear_00006.mp4
F_201G4VO2nAskVN4,fear_00007.mp4
F_aYw4ORB1eGqWQUS,fear_00008.mp4
F_bvIvY9t8xAX1rGC,fear_00009.mp4
F_cUf5xqDHbe2WqNg,fear_00010.mp4
F_2lfFm9iDiG8DV54,horror_00001.mp4
